Position,Team,Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
1,Leonesa,38,18,11,9,55,43,12,65
2,Ponferradina,38,19,8,11,59,41,18,65
3,Real Sociedad B,38,17,11,10,51,33,18,62
4,FC Andorra,38,16,12,10,49,38,11,60
5,Gimnastic,38,16,11,11,59,43,16,59
6,SD Tarazona,38,14,12,12,41,34,7,54
7,Athletic Bilbao B,38,15,9,14,49,45,4,54
8,Celta Vigo B,38,15,8,15,54,50,4,53
9,Zamora,38,14,11,13,44,35,9,53
10,Ourense CF,38,13,12,13,35,44,-9,51
11,Barakaldo,38,13,10,15,49,44,5,49
12,CD Arenteiro,38,12,12,14,40,42,-2,48
13,Lugo,38,12,10,16,35,47,-12,46
14,Osasuna B,38,12,10,16,47,59,-12,46
15,Union de Salamanca,38,10,16,12,42,46,-4,46
16,Barcelona B,38,10,15,13,53,57,-4,45
17,Sestao River,38,11,12,15,40,45,-5,45
18,Real Union,38,12,8,18,43,58,-15,44
19,Gimnastica Segoviana CF,38,9,15,14,43,69,-26,42
20,Amorebieta,38,10,11,17,42,57,-15,41
1,Kocaelispor,38,21,9,8,68,41,27,72
2,Genclerbirligi,38,19,11,8,57,34,23,68
3,Fatih Karagumruk,38,19,9,10,55,36,19,66
4,Bandirmaspor,38,17,13,8,52,45,7,64
5,Istanbulspor,38,20,4,14,67,38,29,64
6,Erzurumspor,38,19,7,12,53,31,22,64
7,Boluspor,38,17,10,11,66,40,26,61
8,Igdir,38,16,10,12,57,33,24,58
9,Amed SK,38,14,15,9,43,35,8,57
10,Corum,38,14,12,12,49,45,4,54
11,Umraniye,38,14,11,13,48,42,6,53
12,Erokspor,38,13,13,12,53,50,3,52
13,Sakaryaspor,38,13,12,13,48,54,-6,51
14,Keciorengucu,38,14,9,15,60,53,7,51
15,Manisa BBSK,38,14,6,18,50,52,-2,48
16,Pendikspor,38,13,9,16,45,51,-6,48
17,Ankaragucu,38,14,6,18,49,48,1,48
18,Sanliurfa,38,11,7,20,45,55,-10,40
19,Adanaspor,38,7,9,22,32,75,-43,30
20,Yeni Malatyaspor,38,0,0,38,14,153,-139,-21
1,AD Ceuta,38,17,16,5,46,35,11,67
2,Real Murcia,38,18,10,10,47,31,16,64
3,Ibiza,38,18,9,11,51,33,18,63
4,Merida AD,38,15,13,10,52,52,0,58
5,Antequera,38,14,16,8,54,49,5,58
6,Castilla,38,12,18,8,58,36,22,54
7,Atletico Madrid B,38,13,15,10,42,35,7,54
8,Sevilla II,38,14,11,13,40,43,-3,53
9,Algeciras,38,12,16,10,46,46,0,52
10,Alcorcon,38,14,9,15,52,51,1,51
11,Villarreal B,38,11,16,11,51,41,10,49
12,Hercules,38,13,8,17,48,49,-1,47
13,Betis II,38,11,13,14,44,59,-15,46
14,Atletico Sanluqueno,38,10,16,12,41,51,-10,46
15,Marbella,38,12,10,16,51,58,-7,46
16,Fuenlabrada,38,10,13,15,43,48,-5,43
17,Yeclano,38,9,16,13,36,34,2,43
18,Alcoyano,38,10,12,16,32,47,-15,42
19,Recreativo,38,7,16,15,32,52,-20,37
20,Intercity,38,8,11,19,37,53,-16,35
1,Tondela,34,17,13,4,58,35,23,64
2,Alverca,34,17,12,5,58,34,24,63
3,Vizela,34,17,11,6,50,30,20,62
4,Benfica B,34,15,10,9,53,38,15,55
5,Torreense,34,15,9,10,49,42,7,54
6,Leiria,34,15,7,12,49,37,12,52
7,GD Chaves,34,14,9,11,40,34,6,51
8,Feirense,34,13,10,11,35,34,1,49
9,Felgueiras,34,11,13,10,43,38,5,46
10,Academico de Viseu,34,11,12,11,43,41,2,45
11,Penafiel,34,12,9,13,45,47,-2,45
12,Maritimo,34,10,13,11,42,48,-6,43
13,Leixoes,34,10,11,13,37,42,-5,41
14,Porto B,34,8,11,15,36,47,-11,35
15,Portimonense,34,9,7,18,38,54,-16,34
16,Pacos Ferreira,34,9,6,19,34,50,-16,33
17,AD Oliveirense,34,7,8,19,30,64,-34,29
18,Mafra,34,6,9,19,29,54,-25,27
1,Volendam,38,26,4,8,87,48,39,82
2,Excelsior,38,22,8,8,74,38,36,74
3,SC Cambuur,38,22,5,11,63,42,21,71
4,ADO Den Haag,38,20,10,8,69,47,22,70
5,Dordrecht,38,20,8,10,69,46,23,68
6,De Graafschap,38,19,8,11,73,50,23,65
7,Telstar,38,17,10,11,69,47,22,61
8,Emmen,38,17,5,16,56,53,3,56
9,Den Bosch,38,15,10,13,53,48,5,55
10,Jong AZ,38,14,10,14,69,63,6,52
11,FC Eindhoven,38,14,9,15,58,64,-6,51
12,Roda JC Kerkrade,38,13,10,15,49,57,-8,49
13,Helmond Sport,38,12,10,16,53,61,-8,46
14,VVV-Venlo,38,11,8,19,44,69,-25,41
15,MVV Maastricht,38,10,10,18,52,59,-7,40
16,FC Oss,38,8,14,16,31,61,-30,38
17,Jong Ajax,38,9,9,20,37,52,-15,36
18,Jong PSV,38,8,6,24,55,86,-31,30
19,Jong Utrecht,38,4,11,23,31,82,-51,23
20,Vitesse Arnhem,38,11,11,16,54,73,-19,5
